,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
235,Al Jefferson,C,30,CHO,65,61,1992,12.6,26.2,0.48100000000000004,0.1,0.1,0.4,12.5,26.1,0.48200000000000004,2.8,4.3,0.655,2.6,11.6,14.2,2.9,1.2,2.2,1.8,3.6,28.0,101,100,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1,2015
236,Cory Jefferson,PF,24,BRK,50,1,531,7.3,16.3,0.449,0.2,1.5,0.133,7.1,14.8,0.48,3.0,5.3,0.574,4.6,9.6,14.1,1.6,1.0,2.0,1.9,5.9,17.8,101,106,13.2,0.48,0.09,0.32299999999999995,10.0,20.6,15.3,4.8,1.0,3.2,9.5,18.1,0.2,0.6,0.8,0.071,-3.3,-0.4,-3.7,-0.2,2015
237,Richard Jefferson,SF,34,DAL,74,18,1244,5.8,13.1,0.444,2.7,6.3,0.426,3.2,6.9,0.462,3.2,4.6,0.684,1.0,6.4,7.4,2.5,1.3,0.4,2.1,4.7,17.5,109,108,11.3,0.5770000000000001,0.478,0.35200000000000004,2.2,14.0,8.1,7.0,1.3,0.7,12.2,15.3,1.4,0.9,2.3,0.08800000000000001,-0.2,-0.5,-0.7,0.4,2015
238,John Jenkins,SG,23,ATL,24,3,297,8.4,17.0,0.495,3.6,8.9,0.40399999999999997,4.8,8.1,0.596,2.8,3.3,0.8420000000000001,0.3,6.4,6.7,2.2,1.7,0.0,1.4,2.6,23.2,118,105,15.9,0.629,0.525,0.192,0.8,13.8,7.5,7.0,1.7,0.0,6.9,17.8,0.6,0.3,0.9,0.147,1.1,-2.1,-0.9,0.1,2015
239,Brandon Jennings,PG,25,DET,41,41,1173,9.6,23.9,0.401,3.4,9.3,0.36,6.3,14.6,0.428,5.3,6.3,0.8390000000000001,0.9,3.7,4.6,12.0,1.9,0.2,4.0,2.8,27.9,110,109,19.7,0.522,0.389,0.263,1.9,8.0,4.8,39.9,1.9,0.3,12.9,26.3,2.6,0.7,3.3,0.136,4.3,-2.5,1.8,1.1,2015
240,Jonas Jerebko,PF,27,TOT,75,0,1230,7.0,15.7,0.446,2.2,5.8,0.386,4.8,9.9,0.48100000000000004,2.3,2.7,0.848,3.9,7.8,11.7,2.9,1.9,0.7,1.8,5.6,18.6,114,105,15.0,0.5489999999999999,0.369,0.174,8.0,17.2,12.5,9.0,1.9,1.1,9.7,16.2,2.0,1.4,3.5,0.135,0.5,0.4,0.9,0.9,2015
241,Grant Jerrett,PF,21,TOT,8,0,51,7.1,26.3,0.26899999999999996,1.0,15.2,0.067,6.1,11.1,0.545,1.0,1.0,1.0,2.0,7.1,9.1,3.0,2.0,2.0,3.0,11.1,16.2,69,103,1.5,0.303,0.5770000000000001,0.038,4.4,15.2,9.9,9.6,2.1,3.1,10.2,25.4,-0.2,0.1,-0.1,-0.128,-6.8,-1.5,-8.4,-0.1,2015
242,Amir Johnson,PF,27,TOR,75,72,1979,7.8,13.6,0.574,0.5,1.2,0.413,7.3,12.4,0.59,2.1,3.4,0.612,4.2,7.8,11.9,3.1,1.1,1.5,2.9,5.9,18.1,115,107,15.4,0.603,0.08900000000000001,0.249,9.3,17.3,13.3,9.4,1.1,2.4,16.0,15.7,3.5,1.6,5.1,0.124,0.8,1.0,1.8,1.9,2015
243,Chris Johnson,SF,24,TOT,29,2,526,6.1,15.1,0.40299999999999997,2.7,9.3,0.295,3.3,5.8,0.5760000000000001,1.4,1.6,0.875,0.8,4.6,5.4,1.5,2.5,0.7,1.5,4.3,16.3,102,105,10.2,0.515,0.617,0.10400000000000001,1.7,10.2,5.9,4.6,2.6,1.1,8.5,15.0,0.2,0.6,0.8,0.07400000000000001,-1.6,-0.6,-2.2,0.0,2015
244,James Johnson,PF,27,TOR,70,17,1370,9.0,15.2,0.589,0.4,1.9,0.21600000000000003,8.6,13.3,0.643,2.5,3.8,0.657,2.3,7.4,9.7,3.6,2.0,2.6,3.0,5.9,20.9,114,104,17.9,0.617,0.126,0.252,5.1,16.5,10.8,11.4,2.0,4.1,15.0,17.4,2.5,1.6,4.1,0.14300000000000002,0.6,2.0,2.7,1.6,2015
245,Joe Johnson,SG,33,BRK,80,80,2791,8.3,19.0,0.435,2.2,6.3,0.359,6.0,12.8,0.47200000000000003,2.6,3.3,0.8009999999999999,1.0,6.1,7.1,5.4,1.1,0.3,2.5,2.2,21.4,105,110,14.1,0.523,0.32899999999999996,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.07,0.9,-0.7,0.2,1.5,2015
246,Nick Johnson,SG,22,HOU,28,0,262,4.9,14.2,0.34700000000000003,0.9,4.0,0.23800000000000002,4.0,10.2,0.389,3.2,4.7,0.68,2.5,4.9,7.4,2.1,1.3,0.6,3.6,6.5,14.0,84,106,4.8,0.43,0.28,0.33299999999999996,5.5,10.9,8.2,6.3,1.3,0.9,18.1,17.4,-0.4,0.2,-0.1,-0.02,-6.1,-1.2,-7.3,-0.3,2015
247,Tyler Johnson,SG,22,MIA,32,2,603,6.1,14.6,0.419,1.6,4.2,0.375,4.6,10.4,0.43700000000000006,2.8,4.1,0.6809999999999999,1.2,5.9,7.1,3.7,2.9,0.8,2.6,3.7,16.6,99,105,12.0,0.506,0.287,0.281,2.9,13.1,8.1,11.3,2.9,1.3,13.8,17.0,0.1,0.7,0.8,0.06,-1.8,0.7,-1.1,0.1,2015
248,Wesley Johnson,SF,27,LAL,76,59,2245,6.5,15.7,0.414,2.1,5.9,0.35100000000000003,4.4,9.8,0.451,2.0,2.5,0.804,1.5,5.7,7.3,2.8,1.3,1.0,2.0,3.7,17.1,102,112,11.1,0.509,0.375,0.162,3.2,12.9,7.8,8.6,1.3,1.6,10.5,16.4,1.0,0.7,1.7,0.037000000000000005,-0.9,-0.6,-1.5,0.3,2015
